央视频道,#genre#
CCTV1,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-1-AVS-4K264.m3u8$!
CCTV2,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-2-HD-265-8M.m3u8$!
CCTV3,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-3-AVS-4K264.m3u8$!
CCTV4,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-4-HD-265-8M.m3u8$!
CCTV5,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-5-AVS-4K264.m3u8$!
CCTV5+,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-5PLUS-HD-265-8M.m3u8$!
CCTV6,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-6-AVS-4K264.m3u8$!
CCTV7,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-7-HD-265-8M.m3u8$!
CCTV8,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-8-AVS-4K264.m3u8$!
CCTV9,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-9-HQ.m3u8$!
CCTV10,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-10-HD-265-8M.m3u8$!
CCTV11,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=H265-5500k-1080P-CCTV11.m3u8$!
CCTV12,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-12-HD-265-8M.m3u8$!
CCTV13,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-13-HQ.m3u8$!
CCTV14,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-14-CQ.m3u8$!
CCTV15,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=H265-5500k-1080P-CCTV15.m3u8$!
CCTV16,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-16-4K.m3u8$!
CCTV16,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-16-CQ.m3u8$!
CCTV17,http://115.120.210.199/proxy/jsyd.php?p=gitv&id=G_CCTV-17-CQ.m3u8$!
CCTV1,http://117.144.58.42:35455/gaoma/cctv1.m3u8$!
CCTV2,http://117.144.58.42:35455/gaoma/cctv2.m3u8$!
CCTV3,http://117.144.58.42:35455/gaoma/cctv3.m3u8$!
CCTV4,http://117.144.58.42:35455/gaoma/cctv4.m3u8$!
CCTV5,http://117.144.58.42:35455/gaoma/cctv5.m3u8$!
CCTV5+,http://117.144.58.42:35455/gaoma/cctv5p.m3u8$!
CCTV6,http://117.144.58.42:35455/gaoma/cctv6.m3u8$!
CCTV7,http://117.144.58.42:35455/gaoma/cctv7.m3u8$!
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8$!
CCTV9,http://117.144.58.42:35455/gaoma/cctv9.m3u8$!
CCTV10,http://117.144.58.42:35455/gaoma/cctv10.m3u8$!
CCTV11,http://117.144.58.42:35455/gaoma/cctv11.m3u8$!
CCTV12,http://117.144.58.42:35455/gaoma/cctv12.m3u8$!
CCTV13,http://117.144.58.42:35455/gaoma/cctv13.m3u8$!
CCTV14,http://117.144.58.42:35455/gaoma/cctv14.m3u8$!
CCTV15,http://117.144.58.42:35455/gaoma/cctv15.m3u8$!
CCTV16,http://117.144.58.42:35455/gaoma/cctv16.m3u8$!
CCTV17,http://117.144.58.42:35455/gaoma/cctv17.m3u8$!
CCTV1,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1$!
CCTV2,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2$!
CCTV3,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3$!
CCTV4,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4$!
CCTV5,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5$!
CCTV5+,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p$!
CCTV6,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6$!
CCTV7,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7$!
CCTV8,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8$!
CCTV9,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9$!
CCTV10,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10$!
CCTV11,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11$!
CCTV12,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12$!
CCTV13,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13$!
CCTV14,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14$!
CCTV15,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15$!
CCTV16,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv16$!
CCTV17,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17$!
CCTV1,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV1$!
CCTV2,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV2$!
CCTV3,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV3$!
CCTV4,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4$!
CCTV5,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5$!
CCTV5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p$!
CCTV6,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV6$!
CCTV7,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV7$!
CCTV8,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV8$!
CCTV9,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV9$!
CCTV10,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV10$!
CCTV11,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV11$!
CCTV12,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV12$!
CCTV13,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV13$!
CCTV14,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV14$!
CCTV15,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV15$!
CCTV17,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV17$!
CCTV1,https://www.freetv.top/migu/608807420.m3u8?migutoken=184a95f0cdaaf7c1f3c7b4cd06d432af7234562e68074726eac10898c158cf1eea49819ced71b5e3d2f3ea0023ff71f8062e39a0a92ffd236a2c1ef4a30ca7f3cb03548908d23e6c6d685437e2$!
CCTV2,https://www.freetv.top/migu/631780532.m3u8?migutoken=9bacb748dc772b1cfcddf6e6373e3319c6d82105f221862932e3b30a6dc4843c93ace2108ab1d598c2d89ef8eb4225888737ce5895be20612ea7753d025151b9a913bd6fc98ff7666da5979f1d$!
CCTV3,https://www.freetv.top/migu/624878271.m3u8?migutoken=35ee1318e92e1d47aa4e9ad2f98c1ca771a9ca57db36d1e18c3a4fabedd68b40ee0c4c4724347e54708380241e58d714dde21dcbd0f2eff4373c9d9f7f1508646f22febd08f5c3a8c755f6ef1e$!
CCTV4,https://www.freetv.top/migu/631780421.m3u8?migutoken=8dc7b786c408976ee73b6ee5a0e7bf7de8ed82ed22f8668130fa8f17f943f9aeefa99d71320e4b5ac6c57c70025c65d2b4c31a9dfca1ebed552d0e3d722521423806670cc55bb626ba456b64fe$!
CCTV4欧洲,https://www.freetv.top/migu/608807419.m3u8?migutoken=e2fddc8b0c2fe505d1d8eada5b1f83dd20360ebfe0adcabfc7e64546305a240ee00c76ffab76b1d2091c9b93a868da387c465be6c1e7b46c66996127d6734102a426e7a3478c2fd972b071d5f2$!
CCTV4美洲,https://www.freetv.top/migu/608807416.m3u8?migutoken=cfc1141967eb2f06f62caa8f87ecd004f5096e3d9013d45f3fbc7597bc6f8a5b22a7b29ff3e195b179467f54bb94620de38658b7c53f55144109671005f6b03a062dd1fc884e2169dbcb902874$!
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=6e3c4a6fba0be5e4060d1c8abab920c2a8ee3308ee2e5a373bad466d9c1c0c3815b96ff56d6b8aab1f7440fc34813d288efe932e05cf0594d7b1a4eaa542a95508f64bbc8423a4e814954a0913$!
CCTV5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=04826a9d5cfc1d3166ded238eb3806d3454207482687b55dbe79a6feb6b4c046e0698d1e7b284da304040eae0ba7b6e833ace3e48213d98981589f226722524cddab32a63d58c1c4e60a091000$!
CCTV6,https://www.freetv.top/migu/624878396.m3u8?migutoken=cf8aa2ae484a26a284790c996f43ed3d911dfba0ee5662ecc4c55b38098e9337cf10f0ac3894a85627dcfe0492addd1d07ff6e3aa6f467d0a2f30f53c4d0ce2a4686f74d46c050c0e010f46a65$!
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=574d7f499abe28260750cc94be57fac402b5f84b72ecb907cf459ce8d58381c92f1a7208e1b83a752dcb0500c1839caea4e4747510bac25b9090fa959b172ce5389a900b4612dde9e9d594cf2e$!
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=77954cedc9129b5a32fc5051e38d53f2a899c7ac8a3816f202e171a39033d50f1e215095f4684658c35d35acfba5b76b4dfc1a9a6a0ec9fa3c481dee98b5d3f1cb4420d2aa955486a1f38d735e$!
CCTV9,https://www.freetv.top/migu/673168140.m3u8?migutoken=70f89f57af3b961c4266d3657e4e2bed7511bb081c6f118dec56c9cb101146db53ddfdbba9b52724c71e79f51bfe5806d61d41f8429293537387c552fed0c21e259ae489a2a54a8accda0abf71$!
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=a825f44b603419477b95fed9f1e947fea9e27bcde29c94cf67aec76845bd588aa5c9914b79d29cb3014756c2909a95f0941589b5faaddc8b9eba64ec444d9c9999083bc0240af4f194167d81e3$!
CCTV11,https://www.freetv.top/migu/667987558.m3u8?migutoken=1d0a7c51349d0d29392d62f5685c0adeccb58bc9a3ffea11a91caa97486b3676f1419283c7373cda120fc07d90d911e4191c58663b10666354a5140046e37437b3dfa6cb78242873fb16b97565$!
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=dd69c6da4ca875bfa3b2c373a896be579823c971f68c14aae1624ddc25a0b5bbf046484c0809601c25014abc49cfbf2f72bf0c59ab5ff81f304a187856c7a50e4d2b12f9eaf5d5627b50786e85$!
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=776326ca258673fca618a4f3a2ff6e001516e1bd1de00a273f9321b167eace944b1fea149e58d9f61f99fdcb505524330bcadd896ad46e9264a6c57fcd05b0e7b924e3462804a5228697c43f3f$!
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=b1f130236741614ca1eaccd92217632731b3c3c0d831bbb7a25004e2ed6d8570b8de27efe2abc85d27a26651d421475c7d50ad99aa55c4aaf55222863fd9d0c80e6d6cf7b8ed52ec2e6cebdd95$!
CCTV15,https://www.freetv.top/migu/673168223.m3u8?migutoken=50dc3ccc2d27d7a93259df8360e0b3d4440519a8a4f9c636cce2d1bab0ddd72f5ecd496a69a4292eca1015e4c44727f9a6ee935a536f0720d3b21bee7f1c53aab112b3ab2e6aeb9982837ab99a$!
CCTV17,https://www.freetv.top/migu/673168256.m3u8?migutoken=dff047a9026f526223c0ed1adbfabbe258e37787a9dbf6c13ddfa3dfc5be6fc055e4ec23f97b75ae545c0a460100ac52ba7ebcfbc7dc5b37f2c7cd2138c72751b2aa7e843867bd1e89f39c0060$!
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$!
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$!
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$!
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$!
